id,parent_skill,name,description,left_or_right
499,,Adrenaline,"<li><strong>[RMB]: RUSH</strong> gives you 10 stamina.</li><li><strong>DURING CLASH:</strong> gives you 100% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span>.</li>",none
500,,Rain of Blows,<strong>[LMB]:</strong> 3 attack melee combo.,none
501,500,Flowing Fist,"<li><strong>SKILL,[LMB]:</strong> After using any other skill, perform a lunging attack with 30% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">armor penetration</span>.</li>",left
502,501,Rupture,"<li><strong>SKILL,[LMB]:</strong> Inflict <img src=""/images/common/debuff/bleed.png""> <span class=""bleed"">bleeding</span> vs. stunned, launched, dazed, or interrupted foes. <span class=""explain"">(3s)</span></li>",left
503,501,Hop To It,"<li><strong>DODGE,[LMB]:</strong> Perform <strong>FLOWING FIST</strong> after dodging. <span class=""explain"">(Once every 3s)</span></li>",right
504,500,Cyclone Kick,"<li><strong>SPRINT+[LMB]:</strong> Attack <img src=""/images/common/cc/interrupt.png""> <span class=""interrupt"">interrupts</span> and deals more <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(Once every 6s)</span></li>",right
505,504,Cyclone Stance,"<li><strong>SPRINT+[LMB]:</strong> After hitting, each <strong>[LMB] RAIN OF BLOWS</strong> gives +10 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span>. <span class=""explain"">(3s, maximum: +30 armor)</span></li>",left
506,504,Recycling Center,"<li><strong>DODGE,[LMB]:</strong> Gives you +25% <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed</span> and +25% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span> for 3s and clears cooldown for <strong>CYCLONE KICK</strong>. <span class=""explain"">(Once every 3s)</span></li>",right
507,,Splash Kick,"<strong>[RMB]:</strong> Rising kick that pushes enemies. <strong>[RMB],[RMB]:</strong> Powerful downward kick.",none
508,507,Burst the Dam,"<li><strong>[RMB],[RMB]:</strong> Downward Kick: <img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">Cracks armor</span>. <span class=""explain"">(-10 armor, 3s)</span></li>",left
509,508,Splashdown,"<li><strong>[RMB],[RMB]:</strong> Downward Kick: <img src=""/images/common/cc/slow.png""> <span class=""slow"">Slows</span> your target. <span class=""explain"">(3s)</span></li>",left
510,508,Splash Zone,"<li><strong>[RMB],[RMB]:</strong> Downward Kick: Hits a larger area.</li>",right
511,507,Boundless Energy,"<li>If you do not perform Downward Kick, cooldown is reduced to 5s.</li>",right
512,511,Rising Tide,"<li><strong>[Q],[RMB]:</strong> After hitting with <strong>[Q] CRASHING WAVES</strong>, <strong>[RMB] SPLASH KICK</strong> <img src=""/images/common/cc/launch.png""> <span class=""launch"">launches</span> foes.</li>",left
513,511,Ride the Rapids,"<li><strong>[E],[RMB]:</strong> After <strong>[E] TONGUELASH</strong>, <strong>[RMB] SPLASH KICK</strong> grants <img src=""/images/common/buff/deflect.png""> <span class=""deflect"">deflection</span> <span class=""explain"">(3s)</span> and <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed boost</span> <span class=""explain"">(5s)</span>.</li>",right
514,,Typhoon's Fury,"<strong>[F],[LMB]:</strong> Launches on hit. Gain armor <span class=""explain"">(+20/30/40)</span> and damage <span class=""explain"">(+30/45/60%)</span> for 4s. Hitting with any attack extends bonuses. <span class=""explain"">(Max 10s)</span>",none
515,514,Battle Ready,"<li>+10% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>, additional +5 while attacking.</li>",left
516,515,Hit and Run,"<li><strong>[F],[LMB]:</strong> +10% <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed</span> and +10 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",left
517,515,Skirmishing,<li>Faster stamina regen while in combat. Out of combat health regen starts 2s sooner.</li>,right
518,514,Angular Momentum,"<li><strong>[LMB]:</strong> +15% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> from behind and after dodging.</li>",right
519,518,Fist of Fury,"<li><strong>[LMB]:</strong> Critical hits deal 10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",left
520,518,Bloody Minded,"<li><img src=""/images/common/buff/invulnerable.png""> <span class=""invulnerable"">Immunity</span> to weakness. Recover from daze twice as fast.</li>",right
521,,Crashing Waves,<strong>[Q]:</strong> Two attacks. First attack interrupts attackers. Second attack deals more damage against disrupted foes.,none
522,521,Intercepting Fist,"<li>Inflicts <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">weakness</span> on attackers. <span class=""explain"">(-25% damage, 3s)</span></li>",left
523,522,Enervating Palm,"<li>Second attack inflicts <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">major weakness</span> against weakened foes. <span class=""explain"">(-50% damage, 5s)</span></li>",left
524,522,Dim Mak,"<li>Hitting raises <strong>[LMB] RAIN OF BLOWS</strong> <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span> to 100%.</li>",right
525,521,Rushing Water,"<li>Second attack is replaced with a roll forward.</li><li><img src=""/images/common/cc/push.png""> <span class=""push"">Pushes</span> enemies on bump.</li>",right
526,525,Splash of Least Resistance,<li>Recharges <strong>[RMB] SPLASH KICK</strong> if you do not bump an enemy.</li>,left
527,525,Fluid Reactions,"<li>Gain projectile <img src=""/images/common/buff/deflect.png""> <span class=""deflect"">deflection</span> and +80 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> during attack, but move slower.</li>",right
528,,Tonguelash,<strong>[E]:</strong> Pull one enemy toward you.,none
529,528,Barbed Tongue,"<li>Deals double <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and raises your <strong>[LMB] RAIN OF BLOWS</strong> <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span> to 100%.</li>",left
530,529,Poisoned Tongue,"<li>Enemies struck are <img src=""/images/common/debuff/poison.png""> <span class=""poison"">poisoned</span>. <span class=""explain"">(-50% healing, 5s)</span></li>",left
531,529,Taste for Blood,"<li>Striking enemies gives <img src=""/images/common/buff/health.png""> <span class=""health"">health</span> regeneration. <span class=""explain"">(100 HP/s, 3s)</span></li>",right
532,528,Whet Your Appetite,"<li>On hit, <strong>[RMB] SPLASH KICK</strong> and <strong>[Q] CRASHING WAVES</strong> recharge.</li><li>Adds +5s to cooldown.</li>",right
533,532,Lick and Load,"<li>On hit, your next attack used <span class=""explain"">(within 2s)</span> deals +100 <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li>",left
534,532,Chain Armor,"<li>On hit, your next attack <span class=""explain"">(within 2s)</span> grants +25 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> on hit. <span class=""explain"">(3s)</span></li>",right
535,,Tongue Tide,"<li><strong>[E]: TONGUELASH</strong> has longer range.</li><li><strong>DURING CLASH:</strong> Gives you more <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> on hit.</li>",none
536,,Wave Pattern,"<li><strong>[Q]: CRASHING WAVES</strong> has shorter cooldown. <span class=""explain"">(-2s)</span></li><li><strong>DURING CLASH:</strong> Gives you +15% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span> on end. <span class=""explain"">(3s)</span.</li>",none
537,,Getting a Leg Up,"<li><strong>[RMB]: SPLASH KICK</strong> gives you 5 stamina. <span class=""explain"">(Also applies to [RMB],[RMB])</span></li><li><strong>DURING CLASH:</strong> Gives you another 5 stamina.</li>",none
538,,Magic Bolt,<strong>HOLD [LMB]:</strong> Fire magic bolts. Attack rate increases as you hold.,none
539,538,Run and Hit,"<li><strong>SKILL,[LMB]:</strong> After using another skill, <strong>[LMB] MAGIC BOLT</strong> powers up instantly.</li>",left
540,539,Magic Shell,"<li><strong>[Q],[LMB]:</strong> After using <strong>[Q] ARCANE VORTEX</strong>, gain +40% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span> and front <img src=""/images/common/buff/deflect.png""> <span class=""deflect"">deflection</span> while firing.</li>",left
541,539,One Dimensional Offense,"<li><strong>[RMB],[LMB]</strong> or <strong>[E],[LMB]:</strong> After <strong>[LMB] ATTRACTOR BEAM</strong> or <strong>[E] DIMENSION DOOR</strong>, fire rate is increased by 20%.</li>",right
542,538,Omega Bolt,"<li><strong>HOLD [LMB],[LMB]:</strong> Adds a third charge stage. If fully charged, your next <strong>[LMB] MAGIC BOLT</strong> <span class=""explain"">(within 5s)</span> fires a blast that inflicts <img src=""/images/common/debuff/shock.png""> <span class=""shock"">massive shock</span>.</li>",right
543,542,Piercing Shock,"<li><strong>HOLD [LMB],[LMB]:</strong> Omega Bolt pierces and <img src=""/images/common/debuff/shock.png""> <span class=""shock"">shocks</span> all enemies hit.</li>",left
544,542,Bolt of Renewal,"<li><strong>HOLD [LMB],[LMB]:</strong> Upon hitting with Omega Bolt, all other skill cooldowns are reduced by 2s.</li>",right
545,,Attractor Beam,<strong>HOLD [RMB]:</strong> Beam attack that slows enemies.,none
546,545,Channel Selector,<li>Simultaneously fires <strong>[LMB] MAGIC BOLT</strong>.</li>,left
547,546,Renewed Attraction,"<li>If the targeted enemy dies, <strong>[RMB] ATTRACTOR BEAM</strong> recharges instantly.</li>",left
548,546,Drawn to Life,"<li>Deals 3x <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> against foes below 33% health.</li>",right
549,545,Cantrip of Disruption,"<li><img src=""/images/common/cc/interrupt.png""> <span class=""interrupt"">Interrupts</span> attackers on start.</li><li>Slight delay before casting.</li>",right
550,549,Enervation Effect,"<li>If you interrupt a foe, inflict <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">weakness</span>. <span class=""explain"">(-25% damage, 3s)</span></li>",left
551,549,Force Feedback,"<li>If you interrupt a foe, inflict <img src=""/images/common/cc/cripple.png""> <span class=""cripple"">cripple</span>. <span class=""explain"">(-40% speed, no jumping, 3s)</span></li>",right
552,,Death Ray,"<strong>[F],[LMB]:</strong> Deadly beam attack that also slows enemies. Hits more targets per focus charge. <span class=""explain"">(2/3/5)</span>",none
553,552,Will to Power,"<li><strong>[F],[LMB]:</strong> +10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and +10% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span> after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",left
554,553,Supreme Will,"<li><strong>[F],[LMB]:</strong> 100% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span> and +100 stamina when you use <strong>FOCUS</strong>.</li>",left
555,553,Refocus,"<li>+15% <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> gain.</li><li><strong>[F],[LMB]:</strong> +25% <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> gain after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",right
556,552,Battle Ready,"<li>+10% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span>, additional +5 while attacking.</li>",right
557,556,Skirmishing,<li>Faster stamina regen while in combat. Out of combat health regen starts 2s sooner.</li>,left
558,556,Acrobatics,<li>Dodging costs 20% less stamina.</li>,right
559,,Arcane Vortex,"<strong>[Q]:</strong> Create a vortex that deflects enemy projectiles. <span class=""explain"">(4s)</span>",none
560,559,Reverse Polarity,"<li>Vortex lasts 50% longer and <img src=""/images/common/buff/reflect.png""> <span class=""reflect"">reflects</span> enemy projectiles.</li><li>Increases targeting range. <span class=""explain"">(10m)</span></li>",left
561,560,True Strike,"<li><strong>[Q],[LMB]: MAGIC BOLTS</strong> that hit your Vortex redirect toward enemies.</li>",left
562,560,Warp Factor,"<li>Allies passing through your Vortex gain a <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed boost</span>. <span class=""explain"">(5s)</span></li>",right
563,559,Induction Field,"<li>After 1s, <img src=""/images/common/cc/pull.png""> <span class=""pull"">pull</span> one nearby foe into the Vortex. <span class=""explain"">(+5s cooldown)</span></li>",right
564,563,Addition by Diffraction,"<li><strong>[Q],[LMB]:</strong> When hitting a foe inside your Vortex, deal +20% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(6s)</span></li>",left
565,563,Confusion,"<li>Enemies that exit your Vortex are <img src=""/images/common/cc/daze.png""> <span class=""daze"">dazed</span> for 1s.</li>",right
566,,Dimension Door,<strong>[E]:</strong> Targeted: Teleport to target location.,none
567,566,Temporal Discontinuity,"<li>On use, reduces cooldown for other skills by 7s and gives you +15 stamina.</li>",left
568,567,Dimensional Rift,"<li><img src=""/images/common/debuff/damage.png""> <span class=""damage"">Damage</span> enemies at both your source and target destination. <span class=""explain"">(+250)</span></li>",left
569,567,Open to Offense,"<li>After teleporting, deal +25% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> for 5s.</li>",right
570,566,Seek Shelter,<li>Teleporting toward a visible ally can teleport you twice as far.</li>,right
571,570,Gimme Shelter,"<li>Teleporting toward a visible ally grants that ally <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> and projectile <img src=""/images/common/buff/deflect.png""> <span class=""deflect"">deflection</span>. <span class=""explain"">(+25 armor, 3s)</span></li>",left
572,570,Go Go Go,"<li>Teleporting toward a visible ally grants you and that ally <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed boost</span>. <span class=""explain"">(25%, 3s)</span></li>",right
573,,Added Dimension,"<li><strong>[E]: DIENSION DOOR</strong> has longer range. <span class=""explain"">(+6m)</span></li><li><strong>DURING CLASH:</strong> -6s cooldown if you are over 50% health.</li>",none
574,,Perfect Storm,"<li><strong>[Q]: ARCANE VORTEX</strong> is larger.</li><li><strong>DURING CLASH:</strong> Raises <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span> to 100%.</li>",none
575,,All to Tether Now,"<li><strong>[RMB]: ATTRACTOR BEAM</strong> stays attached at longer range.</li><li><strong>DURING CLASH:</strong> While attached, rapidly grants <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span>.</li>",none
576,,Judgment,"<strong>[LMB]:</strong> Throw 'Judgment' card at target enemy. On hit, inflict JUDGMENT and burning. <span class=""explain"">(30 dmg/s, 3s)</span>",none
577,576,Quick to Judge,"<li>When <strong>[LMB] JUDGMENT</strong> is freshly applied, <strong>[E] COSMIC POWER</strong> cooldown is reduced. <span class=""explain"">(-0.5s)</span></li>",left
578,577,Speed Dealer,"<li>When <strong>[LMB] JUDGMENT</strong> is freshly applied, <strong>[E] COSMIC POWER</strong> cooldown is reduced further. <span class=""explain"">(-1s)</span></li>",left
579,577,Guilty by Association,"<li>When <strong>[LMB] JUDGMENT</strong> is freshly applied, deal splash <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> to nearby targets. <span class=""explain"">(90)</span></li>",right
580,576,Judge and Jury,"<li>Deal +25% upfront <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> if target already has <strong>[LMB] JUDGMENT</strong>.</li>",right
581,580,Double Jeopardy,"<li>Deal +50% upfront <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> if target already has <strong>[LMB] JUDGMENT</strong>.</li>",left
582,580,Short Sentence,"<li>If the target already has <strong>[LMB] JUDGMENT</strong>, <strong>[RMB] THE BEAST</strong> cooldown is reduced. <span class=""explain"">(-1s)</span></li>",right
583,,The Beast,"<strong>[RMB]:</strong> Toss a spread of 3 'The Beast' cards. On hit, inflicts THE BEAST and slows. <span class=""explain"">(3s)</span>",none
584,583,The Spread,<li>Throw 2 more cards at a wider angle.</li>,left
585,584,Ace of Cups,"<li>Now inflicts <img src=""/images/common/debuff/weakness.png""> <span class=""weakness"">weakness</span>. <span class=""explain"">(-25% damage, 3s)</span></li>",left
586,584,Ace of Swords,"<li>Now inflicts <img src=""/images/common/debuff/bleed.png""> <span class=""bleed"">bleeding</span>. <span class=""explain"">(30 dmg/s, 3s)</span></li>",right
587,583,Close to the Chest,"<li>At close range, also <img src=""/images/common/cc/push.png""> <span class=""push"">pushes</span> away.</li>",right
588,587,Discarded,"<li>At close range, <img src=""/images/common/cc/push.png""> <span class=""push"">pushes</span> enemies much farther.</li>",left
589,587,Jacked,"<li>At close range, now <img src=""/images/common/cc/cripple.png""> <span class=""cripple"">cripples</span>. <span class=""explain"">(3s)</span></li>",right
590,,Death Dealer,"<strong>[F],[LMB]:</strong> Rapidly toss Death cards. Once completed, reveal all cards dealt. Deals 400 damage and <span class=""explain"">(+200/400/800)</span> if target below 50% health.",none
591,590,Endurance,<li>+25% maximum stamina.</li>,left
592,591,Easy Strider,"<li>Move 10% <img src=""/images/common/buff/speed.png""> <span class=""speed"">faster</span>, sprinting drains stamina 25% slower.</li>",left
593,591,Pure Escapism,"<li><img src=""/images/common/buff/cleanse.png""> <span class=""cleanse"">Lose debuffs</span> when you dodge. <span class=""explain"">(Once every 20s)</span></li>",right
594,590,Expert Shuffler,<li>Perform <strong>[LMB] JUDGMENT</strong> 15% faster.</li>,right
595,594,Persistent Fate,"<li><strong>[LMB],[RMB]:</strong> Card duration increased by 1s.</li>",left
596,594,Fortunate Focus,"<li>Successfully revealing <strong>[LMB] JUDGMENT</strong> or <strong>[RMB] THE BEAST</strong> cards gives additional <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span>.</li>",right
597,,The Joker,"<strong>[Q]:</strong> Place 3 cards as a row of traps at your feet. <span class=""explain"">(8s)</span> On trigger, 150 damage and push away. Only hits unique targets once.",none
598,597,High Card,"<li>When triggered, now <img src=""/images/common/cc/launch.png""> <span class=""launch"">launches</span> enemies away.</li>",left
599,598,Bad Draw,<li>Also applies <strong>[RMB] THE BEAST</strong> when triggered.</li>,left
600,598,Follow Suit,"<li>When triggered, <strong>[E] COSMIC POWER</strong> cooldown is reset.</li>",right
601,597,The Long Game,"<li>You can now place cards at a distance. <span class=""explain"">(Maximum: 10m)</span></li>",right
602,601,Judging From Afar,"<li>When triggered, also inflicts <strong>[LMB] JUDGMENT</strong>.</li>",left
603,601,Ace in the Hole,"<li>Trap is instantly armed and deals twice as much <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>. <span class=""explain"">(300)</span></li><li>No longer pushes enemies when triggered.</li>",right
604,,Cosmic Power,"<strong>[E]:</strong> Damages target area and reveals cards held by enemies. If they have <strong>[LMB] JUDGMENT:</strong> +250 damage. If they have <strong>[RMB] THE BEAST:</strong> Daze <span class=""explain"">(1s)</span>",none
605,604,Shattered Destiny,"<li>Revealing <strong>[LMB] JUDGMENT</strong> <img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">cracks armor</span>. <span class=""explain"">(3s)</span></li>",left
606,605,Touch of Destiny,"<li>Revealing <strong>[LMB] JUDGMENT</strong> <img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">breaks armor</span>. <span class=""explain"">(3s)</span></li>",left
607,605,Shared Destiny,<li>Revealing <strong>[LMB] JUDGMENT</strong> also hits nearby enemies.</li>,right
608,604,Starstruck,"<li>Revealing <strong>[RMB] THE BEAST</strong> now inflicts <img src=""/images/common/cc/stun.png""> <span class=""stun"">stun</span>. <span class=""explain"">(0.5s)</span></li>",right
609,608,Starblind,"<li><img src=""/images/common/cc/stun.png""> <span class=""stun"">Stun</span> duration increased to 1s.</li>",left
610,608,Twist of Fate,"<li>Revealing <strong>[RMB] THE BEAST</strong> also inflicts <img src=""/images/common/debuff/curse.png""> <span class=""curse"">curse</span>. <span class=""explain"">(2s)</span></li>",right
611,,Expanded Universe,<li><strong>[E]: COSMIC POWER</strong> target area increased by 50%.</li><li><strong>DURING CLASH:</strong> -33% cooldown.</li>,none
612,,Punchline,"<li><strong>[Q]: THE JOKER</strong> duration increased. <span class=""explain"">(2s)</span></li><li><strong>DURING CLASH:</strong> Trap duration increased by an additional 2s.</li>",none
613,,Cut the Deck,<li><strong>[RMB]: THE BEAST</strong> now pierces through enemies.</li><li><strong>DURING CLASH:</strong> Toss a second set of <strong>[RMB]: THE BEAST</strong> cards in quick succession.</li>,none
614,,Lightning Strikes,<strong>[LMB]:</strong> Lightning-fast melee attacks.,none
615,614,Power Surge,"<li>Each hit grants +5% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and <img src=""/images/common/buff/speed.png""> <span class=""speed"">movement speed</span>. <span class=""explain"">(Maximum: +25%, 3s)</span></li>",left
616,615,Overload,"<li>If Power Surge is maxed <span class=""explain"">(Maximum: +25%, 3s)</span>, hitting a foe extends duration. <span class=""explain"">(10s)</span></li>",left
617,615,Full Charge,<li>Jump and dodge attacks give max Power Surge with a single hit.</li>,right
618,614,Unseen Strike,"<li><strong>[E],[LMB]:</strong> From stealth, deals bonus <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and crits. Hitting a foe in the back <img src=""/images/common/cc/stun.png""> <span class=""stun"">stuns</span> them.</li>",right
619,618,Assassin's Credo,"<li><strong>[E],[LMB]:</strong> Killing target hit by Unseen Strike <span class=""explain"">(within 3s)</span> resets cooldown for <strong>[E] FLASHDANCE</strong>.</li>",left
620,618,Arterial Rout,"<li><strong>[E],[LMB]:</strong> From stealth, inflict <img src=""/images/common/debuff/bleed.png""> <span class=""bleed"">bleeding</span> on foes below 50% health.</li>",right
621,,Plasma Blades,"<strong>[RMB]: Throw daggers. Inflicts bleeding. <span class=""explain"">(5s)</span>",none
622,621,Hidden Daggers,"<li><strong>HOLD [RMB]:</strong> Throw more daggers. <span class=""explain"">(Shorter cooldown if you throw fewer daggers)</span></li>",left
623,622,Precision Blades,"<li><strong>HOLD [RMB]:</strong> Daggers can <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit</span>.</li><li>Hitting increases <strong>[LMB] LIGHTNING STRIKES</strong> and <strong>[RMB] PLASMA BLADES</strong> <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span> rapidly.</li>",left
624,622,Hidden Killer,"<li><strong>[E],HOLD [RMB]:</strong> Throwing dagers does not break stealth.</li>",right
625,621,Marked for Death,"<li><strong>[RMB],[LMB]:</strong> After hit, gain +150 bonus <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> for <strong>[LMB] LIGHTNING STRIKES</strong>. <span class=""explain"">(Hit same target within 5s)</span></li>",right
626,625,Shattering Blades,"<li><strong>[RMB],[LMB]:</strong> After hit, <strong>[LMB] LIGHTNING STRIKES</strong> <img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">cracks armor</span>. <span class=""explain"">(-10 armor, 4s)</span></li>",left
627,625,Binding Blades,"<li><strong>[RMB],[LMB]:</strong> After hit, <strong>[LMB] LIGHTNING STRIKES</strong> <img src=""/images/common/cc/slow.png""> <span class=""slow"">slows</span>. <span class=""explain"">(3s)</span></li>",right
628,,Bladestorm,"<strong>[F],[LMB]:</strong> Surge forward stunning and damaging the first target you collide with. If no enemy is hit, you return to your original location.",none
629,628,Skirmishing,<li>Faster stamina regen while in combat. Out of combat health regen starts 2s sooner.</li>,left
630,629,Acrobatics,<li>Dodging costs 20% less stamina.</li>,left
631,629,Cloak of Shadows,"<li>+25 <img src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> while stealthed.</li>",right
632,628,Killer Instinct,"<li><strong>[LMB]:</strong> +10% basic attack <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> against foes with less than 50% health.</li>",right
633,632,Will to Power,"<li><strong>[F],[LMB]:</strong> +10% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and +10% front <img src=""/images/common/buff/armor.png""> <span class=""armor"">damage reduction</span> after using <strong>FOCUS</strong>. <span class=""explain"">(Lasts until you die)</span></li>",left
634,632,Remorseless,"<li><img src=""/images/common/buff/speed.png""> <span class=""speed"">Speed</span> and <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> boost after every kill.</li>",right
635,,Electric Slide,"<strong>[Q]:</strong> Slide forward rapidly. <strong>[Q],[Q]:</strong> Deadly kick that stuns and pushes foes up.",none
636,635,Heel Blade,"<li><strong>[Q],[Q]:</strong> Attack now automatically crits.</li><li>Hitting raises <strong>[LMB] LIGHTNING STRIKES</strong> <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span> to 100%.</li>",left
637,636,Chain Lightning,"<li><strong>[Q],[Q]:</strong> Hitting in the back <img src=""/images/common/cc/launch.png""> <span class=""launch"">launches</span> foes.</li>",left
638,636,Static Shield,"<li>During slide, <img src=""/images/common/buff/deflect.png""> <span class=""deflect"">deflect</span> projectiles from front. <span class=""explain"">(2s duration)</span></li>",right
639,635,Light Speed,"<li>Pass through foes, dealing 100 <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> and inflicting <img src=""/images/common/debuff/shock.png""> <span class=""shock"">massive shock</span>. <span class=""explain"">(210 damage over 3s)</span></li><li>Pressing <strong>[Q]</strong> again no longer kicks.</li>",right
640,639,Light On Your Feet,"<li>If you don't pass through an enemy, gain a 30% <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed boost</span>. <span class=""explain"">(3s)</span></li>",left
641,639,Phantom Slide,"<li><strong>[E],[Q]:</strong> Slide does not break stealth.</li>",right
642,,Flashdance,"<strong>[E]:</strong> Gain stealth. <span class=""explain"">(6s)</span>",none
643,642,Storm Surge,"<li>+25% <img src=""/images/common/buff/speed.png""> <span class=""speed"">movement speed</span> during stealth.</li>",left
644,643,In a Flash,<li><strong>[E] FLASHDANCE</strong> triggers instantly and breaks launch and stun.</li>,left
645,643,Flash Step,<li><strong>HOLD [E]:</strong> Teleport a short distance to targeted location.</li>,right
646,642,Starburst,"<li>After a short delay, <img src=""/images/common/cc/daze.png""> <span class=""daze"">daze</span> nearby foes. <span class=""explain"">(1.5s)</span></li>",right
647,646,Electrical Storm,"<li>After a short delay, inflicts <img src=""/images/common/debuff/shock.png""> <span class=""shock"">major shock</span> on nearby foes. <span class=""explain"">(120 damage over 3s)</span></li>",left
648,646,Disorienting Flash,"<li>After a short delay, <img src=""/images/common/cc/slow.png""> <span class=""slow"">slows</span> nearby foes. <span class=""explain"">(3s)</span></li>",right
649,,Back in a Flash,"<li><strong>[E]: FLASHDANCE</strong> cooldown is reduced by 5s.</li><li><strong>DURING CLASH:</strong> Gain 100% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">crit chance</span> when you become visible.</li>",none
650,,Storm Rider,"<li><strong>[Q]: ELECTRIC SLIDE</strong> more often. <span class=""explain"">(-3s cooldown)</span></li><li><strong>DURING CLASH:</strong> <img src=""/images/common/buff/invulnerable.png""> <span class=""invulnerable"">Debuff immunity</span> during the slide.</li>",none
651,,Cutting Edge,"<li><strong>[RMB]: PLASMA BLADES</strong> bleeding deals 2x <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span>.</li><li><strong>DURING CLASH:</strong> On hit, 30% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">armor penetration</span> for basic attacks. <span class=""explain"">(5s)</span></li>",none
652,,Fire Flask,<strong>[LMB]:</strong> Lobbed projectile: Damages enemies with fire.,none
653,652,"3, 2, 1, Contact","<li>Deal +33% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> on direct hits.</li>",left
654,653,Igniter Fluid,"<li>Inflict <img src=""/images/common/debuff/burn.png""> <span class=""burn"">burning</span> on direct hits. <span class=""explain"">(40 dmg/s, 3s duration)</span></li>",left
655,653,Burned and Broken,"<li>If enemy has cracked or broken armor, direct hits inflict <img src=""/images/common/debuff/crackarmor.png""> <span class=""crackarmor"">broken armor</span>. <span class=""explain"">(-25 armor, 3s duration)</span></li>",right
